book_id,title,author,genre,year,description
1,Brave New World (Book 1),Harper Lee,Business,1870,"An engaging dystopian book by Fyodor Dostoevsky. This book explores themes of human nature, society, and the complexities of life."
2,The Lord of the Rings (Book 2),George Orwell,Memoir,1989,"An engaging thriller book by William Golding. This book explores themes of human nature, society, and the complexities of life."
3,Paper Towns (Book 3),Orson Scott Card,Fiction,1807,"An engaging dystopian book by Charles Dickens. This book explores themes of human nature, society, and the complexities of life."
4,Crime and Punishment (Book 4),Suzanne Collins,Romance,1806,"An engaging thriller book by Emily Brontë. This book explores themes of human nature, society, and the complexities of life."
5,The Maze Runner (Book 5),Isaac Asimov,Dystopian,1914,"An engaging young adult book by Leo Tolstoy. This book explores themes of human nature, society, and the complexities of life."
6,The Great Gatsby (Book 6),J.R.R. Tolkien,Self-Help,1908,"An engaging fantasy book by Leo Tolstoy. This book explores themes of human nature, society, and the complexities of life."
7,Harry Potter and the Sorcerer's Stone (Book 7),Charles Dickens,History,1886,"An engaging romance book by William Golding. This book explores themes of human nature, society, and the complexities of life."
8,The Handmaid's Tale (Book 8),George Orwell,Gothic Fiction,2016,"An engaging gothic fiction book by John Green. This book explores themes of human nature, society, and the complexities of life."
9,War and Peace (Book 9),George Orwell,Business,1917,"An engaging thriller book by Aldous Huxley. This book explores themes of human nature, society, and the complexities of life."
10,The Handmaid's Tale (Book 10),William Golding,Thriller,1875,"An engaging biography book by John Green. This book explores themes of human nature, society, and the complexities of life."
11,Fahrenheit 451 (Book 11),John Green,Political Fiction,1980,"An engaging dystopian book by George Orwell. This book explores themes of human nature, society, and the complexities of life."
12,Crime and Punishment (Book 12),Homer,Dystopian,2018,"An engaging dystopian book by George Orwell. This book explores themes of human nature, society, and the complexities of life."
13,The Handmaid's Tale (Book 13),Leo Tolstoy,Philosophical Fiction,1962,"An engaging gothic fiction book by J.R.R. Tolkien. This book explores themes of human nature, society, and the complexities of life."
14,Fahrenheit 451 (Book 14),Nathaniel Hawthorne,Political Fiction,1971,"An engaging fantasy book by J.D. Salinger. This book explores themes of human nature, society, and the complexities of life."
15,An Abundance of Katherines (Book 15),J.R.R. Tolkien,Thriller,1986,"An engaging dystopian book by J.R.R. Tolkien. This book explores themes of human nature, society, and the complexities of life."
16,Neuromancer (Book 16),Margaret Atwood,Fantasy,1963,"An engaging self-help book by John Green. This book explores themes of human nature, society, and the complexities of life."
17,Crime and Punishment (Book 17),Herman Melville,History,1998,"An engaging fiction book by Fyodor Dostoevsky. This book explores themes of human nature, society, and the complexities of life."
18,1984 (Book 18),Herman Melville,Gothic Fiction,1868,"An engaging dystopian book by Charles Dickens. This book explores themes of human nature, society, and the complexities of life."
19,Looking for Alaska (Book 19),Herman Melville,Political Fiction,1967,"An engaging science fiction book by Frank Herbert. This book explores themes of human nature, society, and the complexities of life."
20,Neuromancer (Book 20),J.K. Rowling,Fantasy,1835,"An engaging dystopian book by John Green. This book explores themes of human nature, society, and the complexities of life."
21,The Maze Runner (Book 21),Leo Tolstoy,Business,1949,"An engaging fiction book by John Green. This book explores themes of human nature, society, and the complexities of life."
22,Dune (Book 22),Ray Bradbury,Dystopian,1835,"An engaging mystery book by Ernest Cline. This book explores themes of human nature, society, and the complexities of life."
23,Lord of the Flies (Book 23),Jane Austen,Romance,1839,"An engaging biography book by J.R.R. Tolkien. This book explores themes of human nature, society, and the complexities of life."
24,Ender's Game (Book 24),John Green,Dystopian,1898,"An engaging gothic fiction book by John Green. This book explores themes of human nature, society, and the complexities of life."
25,Neuromancer (Book 25),Veronica Roth,Fantasy,1941,"An engaging fiction book by Aldous Huxley. This book explores themes of human nature, society, and the complexities of life."
26,The Maze Runner (Book 26),Leo Tolstoy,History,1964,"An engaging fantasy book by Aldous Huxley. This book explores themes of human nature, society, and the complexities of life."
27,The Odyssey (Book 27),Orson Scott Card,Fiction,1916,"An engaging fiction book by Leo Tolstoy. This book explores themes of human nature, society, and the complexities of life."
28,The Hunger Games (Book 28),Charlotte Brontë,Mystery,1827,"An engaging biography book by Homer. This book explores themes of human nature, society, and the complexities of life."
29,The Hunger Games (Book 29),John Green,Political Fiction,1839,"An engaging gothic fiction book by J.R.R. Tolkien. This book explores themes of human nature, society, and the complexities of life."
30,The Maze Runner (Book 30),Veronica Roth,Fiction,1953,"An engaging fantasy book by Ernest Cline. This book explores themes of human nature, society, and the complexities of life."
31,To Kill a Mockingbird (Book 31),Aldous Huxley,Gothic Fiction,2012,"An engaging fantasy book by Fyodor Dostoevsky. This book explores themes of human nature, society, and the complexities of life."
32,Pride and Prejudice (Book 32),Fyodor Dostoevsky,Young Adult,1820,"An engaging dystopian book by Ernest Cline. This book explores themes of human nature, society, and the complexities of life."
33,The Catcher in the Rye (Book 33),James Dashner,History,1832,"An engaging fiction book by Andy Weir. This book explores themes of human nature, society, and the complexities of life."
34,The Fault in Our Stars (Book 34),J.R.R. Tolkien,Fantasy,1935,"An engaging romance book by Orson Scott Card. This book explores themes of human nature, society, and the complexities of life."
35,Great Expectations (Book 35),James Dashner,History,1986,"An engaging self-help book by Emily Brontë. This book explores themes of human nature, society, and the complexities of life."
36,The Iliad (Book 36),Frank Herbert,Memoir,1966,"An engaging gothic fiction book by Douglas Adams. This book explores themes of human nature, society, and the complexities of life."
37,Divergent (Book 37),Douglas Adams,Romance,1863,"An engaging dystopian book by J.D. Salinger. This book explores themes of human nature, society, and the complexities of life."
38,The Adventures of Huckleberry Finn (Book 38),Harper Lee,Young Adult,1941,"An engaging dystopian book by John Green. This book explores themes of human nature, society, and the complexities of life."
39,Crime and Punishment (Book 39),F. Scott Fitzgerald,Dystopian,1981,"An engaging biography book by Jane Austen. This book explores themes of human nature, society, and the complexities of life."
40,Crime and Punishment (Book 40),J.D. Salinger,Fiction,2020,"An engaging fantasy book by J.D. Salinger. This book explores themes of human nature, society, and the complexities of life."
41,The Hunger Games (Book 41),Fyodor Dostoevsky,Fantasy,1971,"An engaging science fiction book by Charles Dickens. This book explores themes of human nature, society, and the complexities of life."
42,The Maze Runner (Book 42),J.R.R. Tolkien,Business,1946,"An engaging young adult book by Andy Weir. This book explores themes of human nature, society, and the complexities of life."
43,The Brothers Karamazov (Book 43),Andy Weir,Fiction,1848,"An engaging romance book by George Orwell. This book explores themes of human nature, society, and the complexities of life."
44,Ender's Game (Book 44),Nathaniel Hawthorne,Fiction,1905,"An engaging philosophical fiction book by Jane Austen. This book explores themes of human nature, society, and the complexities of life."
45,Animal Farm (Book 45),Jane Austen,Gothic Fiction,1986,"An engaging fantasy book by George Orwell. This book explores themes of human nature, society, and the complexities of life."
46,The Brothers Karamazov (Book 46),Emily Brontë,Political Fiction,1937,"An engaging philosophical fiction book by J.R.R. Tolkien. This book explores themes of human nature, society, and the complexities of life."
47,Ender's Game (Book 47),Charlotte Brontë,Fantasy,1918,"An engaging dystopian book by J.D. Salinger. This book explores themes of human nature, society, and the complexities of life."
48,The Hitchhiker's Guide to the Galaxy (Book 48),John Green,Romance,1812,"An engaging biography book by James Dashner. This book explores themes of human nature, society, and the complexities of life."
49,The Great Gatsby (Book 49),William Golding,History,2017,"An engaging dystopian book by J.R.R. Tolkien. This book explores themes of human nature, society, and the complexities of life."
50,Foundation (Book 50),Ernest Cline,Science Fiction,1854,"An engaging gothic fiction book by Jane Austen. This book explores themes of human nature, society, and the complexities of life."
51,The Hobbit (Book 51),Margaret Atwood,Fiction,1899,"An engaging fantasy book by William Gibson. This book explores themes of human nature, society, and the complexities of life."
52,The Odyssey (Book 52),Orson Scott Card,Self-Help,1987,"An engaging thriller book by Ernest Cline. This book explores themes of human nature, society, and the complexities of life."
53,Harry Potter and the Sorcerer's Stone (Book 53),Emily Brontë,Fantasy,1855,"An engaging fiction book by John Green. This book explores themes of human nature, society, and the complexities of life."
54,The Maze Runner (Book 54),Jane Austen,Business,1880,"An engaging fiction book by Jane Austen. This book explores themes of human nature, society, and the complexities of life."
55,Paper Towns (Book 55),Andy Weir,Mystery,2018,"An engaging mystery book by J.R.R. Tolkien. This book explores themes of human nature, society, and the complexities of life."
56,Pride and Prejudice (Book 56),Suzanne Collins,Dystopian,2017,"An engaging fiction book by J.D. Salinger. This book explores themes of human nature, society, and the complexities of life."
57,An Abundance of Katherines (Book 57),J.D. Salinger,Memoir,2020,"An engaging dystopian book by Frank Herbert. This book explores themes of human nature, society, and the complexities of life."
58,Brave New World (Book 58),John Green,Dystopian,1948,"An engaging romance book by George Orwell. This book explores themes of human nature, society, and the complexities of life."
59,"Will Grayson, Will Grayson (Book 59)",William Golding,Fiction,1968,"An engaging young adult book by John Green. This book explores themes of human nature, society, and the complexities of life."
60,Divergent (Book 60),Herman Melville,Fantasy,1852,"An engaging memoir book by Herman Melville. This book explores themes of human nature, society, and the complexities of life."
61,The Brothers Karamazov (Book 61),Leo Tolstoy,Gothic Fiction,1833,"An engaging memoir book by Homer. This book explores themes of human nature, society, and the complexities of life."
62,Neuromancer (Book 62),Herman Melville,History,1818,"An engaging fiction book by William Gibson. This book explores themes of human nature, society, and the complexities of life."
63,"Will Grayson, Will Grayson (Book 63)",John Green,Romance,1818,"An engaging thriller book by Charles Dickens. This book explores themes of human nature, society, and the complexities of life."
64,The Hunger Games (Book 64),Leo Tolstoy,Fiction,1889,"An engaging dystopian book by Fyodor Dostoevsky. This book explores themes of human nature, society, and the complexities of life."
65,Fahrenheit 451 (Book 65),Homer,Fiction,1912,"An engaging thriller book by Homer. This book explores themes of human nature, society, and the complexities of life."
66,"Will Grayson, Will Grayson (Book 66)",Veronica Roth,Fiction,1970,"An engaging thriller book by Homer. This book explores themes of human nature, society, and the complexities of life."
67,Animal Farm (Book 67),J.R.R. Tolkien,Fantasy,1829,"An engaging romance book by John Green. This book explores themes of human nature, society, and the complexities of life."
